column_or_row_name,BERVO Combination,BERVO Term,unit,definition,data_type,source_file,berdl_export_status,nonempty_value_count,sample_values,mapping_notes,proposed_bervo_term
nitrate_nitrogen,"Nitrate, Element = nitrogen, Environmental material = dry soil",BERVO:8000168,milligram per kilogram,nitrate_nitrogen associated with sample.,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,used_in_berdl_data_table,248,26.7 µg per g | 19.8 µg per g | 28.8 µg per g | 19.5 µg per g | 19 µg per g,,
nitrite_nitrogen,"Nitrogen, Context = nitrite",BERVO:8000167,,nitrite_nitrogen associated with sample.,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
bulk electrical conductivity,"Conductivity, Context = bulk electrical",BERVO:8000348,,bulk electrical conductivity associated with sample.,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
infiltrations,,,,infiltrations associated with sample.,text,neon_Gs0149986_samples_soilproperties_metagenomes.csv,unused_empty_source_column,0,,,
Sample_Collection_Date,"Date, Context = collection",BERVO:8000239,YYYY-MM-DD,Date of sample collection.,date,,unused_no_source_column,,,,
IGSN,"Identifier, Context = source material",BERVO:8000528,,International Generic Sample Number (IGSN) for associated source sample.,text,samples.csv,used_in_berdl_data_table,249,10.58052/IER1800PH | 10.58052/IER1800PI | 10.58052/IER1800PJ | 10.58052/IER1800PK | 10.58052/IER1800PL,,
Sample Name,"Identifier, Context = environmental sample",BERVO:8000528,,Name of associated sample.,text,samples.csv,used_in_berdl_data_table,249,002-ER18-SC-D1a | 003-ER18-SC-D1a | 004-ER18-SC-D1a | 005-ER18-SC-D1a | 006-ER18-SC-D1a,,
Release Date,"Date, Context = release",BERVO:8000239,YYYY-MM-DD,Date when sample metadata should be publicly accessible and searchable.,text,samples.csv,array_level_metadata,249,2020-08-20,,
Collection method,"Method, Context = sample collection",BERVO:8000303,,Method of collection of sample.,text,samples.csv,array_level_metadata,249,"Collect soil samples from top 10 cm using 2-3 cores from with meadow plot or under the bulk of tree/shrub canopies. Samples placed in polyethylene bag and on ice for transfer from field to remote lab. Child samples for sensitive nutrient, microbial, and root analyses extracted immediately and handled seperately. Remaining sample air dried and passed through 2mm sieve.",,
Latitude,Latitude,BERVO:8000395,degree,Latitude of the location where the sample was collected.,numeric,samples.csv,used_in_berdl_data_table,249,38.95729 | 38.95737 | 38.95748 | 38.95746 | 38.95787,,
Longitude,Longitude,BERVO:8000396,degree,Longitude of the location where the sample was collected.,numeric,samples.csv,used_in_berdl_data_table,249,-106.986 | -106.985 | -106.952 | -106.953 | -107.066,,
Navigation type,"Method, Context = navigation",BERVO:8000303,,Type of geolocation instrument used to obtain geographic coordinates.,text,samples.csv,array_level_metadata,249,GPS,,
Primary physiographic feature,"Environmental feature, Context = physiographic",BERVO:8000400,,Description of the primary physiographic feature of which the sample was collected.,text,samples.csv,array_level_metadata,249,Mountain,,
